category,milestone
Destreza de dedos,"Mete objetos en un orificio, como monedas en una alcancía"
Destreza de dedos,Mete objetos en recipientes o contenedores
Destreza de dedos,Saca objetos de un recipiente
Destreza de dedos,"Levanta objetos muy pequeños con su pulgar e índice (por ejemplo, cereal)"
Destreza de dedos,Arma rompecabezas con resaques simples
Destreza de dedos,"Encaja objetos (por ejemplo, pasa un hilo por un agujero)"
Escribir y colorear,"Garabatea, moviendo todo el brazo desde el hombro"
Escribir y colorear,Toma un crayón o lapiz de color con el puño
Escribir y colorear,Utiliza un pincel para pintar
Escribir y colorear,"Hace garabatos, moviendo su mano de lado a lado"
Escribir y colorear,Puede hacer trazos horizontales cuando dibuja o pinta
Escribir y colorear,Puede hacer trazos verticales cuando dibuja o pinta
Escribir y colorear,Puede hacer trazos circulares cuando dibuja o pinta
Escribir y colorear,Traza líneas en un papel con su dedo
Escribir y colorear,Usa crayones o pinceles para trazar líneas sobre un papel
Etapas de juego ,"Cuando está jugando con otros niños, ofrece sus juguetes voluntariamente"
Etapas de juego ,Tiene un juguete favorito
Etapas de juego ,Juega solo
Etapas de juego ,Le gusta jugar con adultos
Etapas de juego ,"Simula cosas simples al jugar (por ejemplo, alimentar a una muñeca)"
Etapas de juego ,Imita a miembros de la familia cuando juega
Etapas de juego ,Interactúa con otros niños cuando juega
Etapas de juego ,"Juega con imaginación (por ejemplo, actúa como bombero en juego simbólico)"
Exploración temprana,Lleva sus manos a la boca
Exploración temprana,Sigue los movimientos de objetos o personas con la vista por un medio círculo o 180 grados
Exploración temprana,Hace movimientos intencionales para tomar objetos que están cerca
Exploración temprana,Mira sus manos
Exploración temprana,Explora una de sus manos con la otra mano
Exploración temprana,Explora su propio cuerpo con las manos
Exploración temprana,Mira a su alrededor al estar erguido
Exploración temprana,Lleva objetos a su boca
Exploración temprana,Golpea un objeto con otro
Exploración temprana,"Experimenta con causa y efecto (por ejemplo, tira algo y espera a que lo levantes)"
Exploración temprana,Puede empujar o mover un juguete hacia un lado para alcanzar otro
Exploración temprana,Muestra interés en cosas nuevas
Exploración temprana,Sigue con la vista a un objeto mientras cae
Exploración temprana,"Prueba diferentes alturas (por ejemplo, se sube a muebles de diferentes alturas)"
Gateo,Levanta la parte superior del cuerpo extendiendo los brazos mientras se encuentra boca abajo
Gateo,Extiende sus brazos hacia delante cuando está boca abajo
Gateo,Es capaz de sostener  el peso de la parte superior de su cuerpo con un solo brazo al estar acostado boca abajo
Gateo,Usa las piernas para impulsarse hacia delante cuando está boca abajo
Gateo,Se estira para alcanzar algo cuando está boca abajo
Gateo,Se mece hacia delante y hacia atrás al estar en cuatro puntos (apoyado en sus manos y rodillas)
Gateo,Se arrastra sin levantar el vientre para llegar de un lado a otro
Gateo,Se arrastra para alcanzar algo
Gateo,Se pone en posición de gateo (sobre sus manos y rodillas)
Gateo,"Se puede mover de un lugar a otro, ya sea rodando o arrastrándose"
Gateo,Gatea
Gateo,Cambia de dirección fácilmente al gatear
Gateo,Escala o rodea obstáculos al gatear
Gateo,Sube escalones gateando
Gateo,Puede escalar muebles con ayuda
Gateo,Baja las escaleras gateando de reversa
Habilidades musicales,Intenta moverse al ritmo de la música que escucha
Habilidades musicales,Intenta cantar cuando escucha canciones conocidas
Habilidades musicales,Sigue el ritmo de una canción aplaudiendo o con algún instrumento
Habilidades musicales,Baila al ritmo de una canción
Habilidades musicales,Puede nombrar o señalar distintos instrumentos musicales de juguete
Habilidades musicales,"Reconoce el sonido de dos o tres instrumentos musicales (por ejemplo, le apunta a un tambor cuando escucha el sonido de este instrumento)"
Habilidades musicales,Canta una canción
Imitación,Imita las expresiones faciales de otras personas
Imitación,"Imita movimientos cotidianos (por ejemplo, aplaude cuando ve a alguien más hacerlo)"
Imitación,"Cambia su comportamiento para imitar a otros cuando juega (por ejemplo, al ver a un compañero hacer torres de bloques, lo hace también)"
Imitación,"Imita una acción simple (por ejemplo, sacude una sonaja)"
Imitación,"Mueve una parte del cuerpo cuando se lo pides, siguiendo algún ejemplo visual"
Imitación,Hace ciertas expresiones faciales cuando se le pide verbalmente
Imitación,Mueve las manos hacia arriba y hacia abajo cuando se le indica
Imitación,Utiliza un objeto de manera adecuada después de ver a un adulto usarlo
Imitación,"Imita acciones que ha observado a algún adulto hacer y que requiera más de un paso (por ejemplo, tomar un teléfono de juguete de alguna bolsa y contestarlo)"
Imitación,"Mueve sus brazos de un lado a otro o en círculos, siguiendo tu ejemplo"
Imitación,"Imita el sonido de objetos cotidianos (por ejemplo, el carro, el teléfono, o la sirena de la ambulancia)"
Imitación,"Copia el comportamiento de otros, especialmente de adultos y niños mayores (por ejemplo, tomar un tenedor o mecer a una muñeca de bebé como para que se duerma)"
Memoria y atención,Dirige su atención voluntariamente hacia alguna persona o situación
Memoria y atención,Dirige su atención a sus alrededores
Memoria y atención,Presta atención a un objeto o persona por al menos un minuto
Memoria y atención,Observa detalladamente cómo haces las cosas
Memoria y atención,Presta atención a conversaciones
Memoria y atención,"Asocia objetos con sus sonidos correspondientes (por ejemplo, voltea al teléfono cuando suena)"
Memoria y atención,"Sigue instrucciones de un paso (por ejemplo, ""Recoge ese juguete"")"
Memoria y atención,Puede prestarle atención a un adulto leyendo un libro por algunos minutos a la vez
Memoria y atención,Se ubica en lugares que son familiares
Memoria y atención,Señala o nombra a los personajes en un cuento
Memoria y atención,"Sigue instrucciones de dos pasos (por ejemplo, ""encuentra tu muñeca y tráela"")"
Memoria y atención,Sabe los nombres de personas que le son conocidas
Memoria y atención,Termina frases de libros que conoce muy bien
Movimientos y coordinación temprana,Abre y cierra las manos
Movimientos y coordinación temprana,Patea cuando está acostado boca arriba
Movimientos y coordinación temprana,Extiende y mueve los brazos y piernas al estar acostado boca abajo
Movimientos y coordinación temprana,"Sujeta objetos pequeños en su mano, como una sonaja"
Movimientos y coordinación temprana,Se apoya cuando pones sus pies sobre una superficie firme
Movimientos y coordinación temprana,Agita objetos
Movimientos y coordinación temprana,Se estira hacia un objeto y lo toma
Movimientos y coordinación temprana,Levanta las piernas cuando está recostado boca arriba
Movimientos y coordinación temprana,Puede doblar o extender una pierna a la vez
Movimientos y coordinación temprana,Abre la mano para recibir el objeto que le acercas
Movimientos y coordinación temprana,Carga su propio peso cuando se le mantiene con los pies apoyados sobre una superficie
Movimientos y coordinación temprana,Se estira hacia un objeto con las dos manos
Movimientos y coordinación temprana,Toma sus pies con las manos cuando está boca arriba
Movimientos y coordinación temprana,"Sujeta dos objetos al mismo tiempo, uno en cada mano"
Movimientos y coordinación temprana,Cambia objetos de una mano a otra
Movimientos y coordinación temprana,Sostiene objetos grandes con ambas manos
Pensamiento abstracto y conocimiento temprano,Busca un objeto en el piso que se le haya caído
Pensamiento abstracto y conocimiento temprano,Busca juguetes escondidos
Pensamiento abstracto y conocimiento temprano,Encuentra objetos que estén escondidos debajo de una sábana u otros cobertores
Pensamiento abstracto y conocimiento temprano,Presta atención a la ubicación de objetos que haya visto esconder
Pensamiento abstracto y conocimiento temprano,Identifica a los animales por el sonido que hacen
Pensamiento abstracto y conocimiento temprano,"Entiende que los objetos tienen forma, textura o tamaño (por ejemplo, algunas cosas son suaves y otras no)"
Pensamiento abstracto y conocimiento temprano,"Entiende normas básicas que le son relevantes (por ejemplo, sabe que se pinta sobre el papel)"
Pensamiento abstracto y conocimiento temprano,Demuestra conocimiento de la diferencia entre arriba y abajo
Pensamiento abstracto y conocimiento temprano,Demuestra conocimiento de la diferencia entre adelante y atrás
Pensamiento abstracto y conocimiento temprano,Demuestra conocimiento de la diferencia entre adentro y afuera
Pensamiento abstracto y conocimiento temprano,Conoce la diferencia entre el volumen fuerte y bajo (por ejemplo entiende cuando le pides que hable más fuerte)
Pensamiento abstracto y conocimiento temprano,Encuentra objetos que están escondidos bajo dos o tres capas de sábanas o colchas
Pensamiento abstracto y conocimiento temprano,Demuestra que sabe la diferencia entre uno o dos y muchos
Pensamiento abstracto y conocimiento temprano,"Entiende la diferencia entre ""grande"" y ""chico"" (por ejemplo, señalando al objeto correspondiente)"
Pensamiento abstracto y conocimiento temprano,"Puede identificar cuál, entre dos objetos, es el más grande o el más suave"
Pensamiento abstracto y conocimiento temprano,"Identifica las herramientas que se usan para distintas profesiones (por ejemplo, señala el estetoscopio de un doctor)"
Pensamiento abstracto y conocimiento temprano,"Entiende la función de al menos una parte del cuerpo (por ejemplo, los oídos son para escuchar)"
Pensamiento abstracto y conocimiento temprano,"Reconoce que las plantas son seres vivos (por ejempo, las riega)"
Pensamiento abstracto y conocimiento temprano,"Identiifica servidores públicos (por ejemplo, señala la imagen de un policía, doctor, o bombero)"
Primeras palabras,Imita sonidos de animales
Primeras palabras,Intenta imitar las palabras que dices
Primeras palabras,Dice una o más palabras con significado
Primeras palabras,"Dice ""mamá"",""papá"", o alguna otra palabra para referirse a sus padres"
Primeras palabras,Puede decir cuatro o más palabras con significado
Primeras palabras,"Intenta pronunciar la letra ""T"", colocando su lengua detrás de los dientes"
Primeras palabras,Presiona los labios para intentar pronunciar la letra B
Primeras palabras,Pronuncia palabras con la letra P
Primeras palabras,Pronuncia palabras con la letra M
Primeras palabras,Pronuncia palabras con la letra B
Primeras palabras,Dice 10 o más palabras con significado
Primeras palabras,Puede nombrar uno o dos alimentos
Primeras palabras,Hace burbujas
Primeras palabras,Repite el nombre de diferentes partes del cuerpo cuando se las mencionan
Primeras palabras,"Usa palabras posesivas como ""mío"""
Primeras palabras,Repite palabras que escucha en una conversación
Primeras palabras,Puede decir 50 palabras o más
Primeras palabras,Nombra objetos que conoce cuando se le pide
Primeras palabras,Pronuncia palabras con la letra T
Primeras palabras,Nombra más de tres partes del cuerpo
Producción del lenguaje,Combina palabras para formar frases cortas
Producción del lenguaje,Pide algunas cosas por su nombre
Producción del lenguaje,"Usa una palabra para expresar un pensamiento completo (por ejemplo, ""parque"" para ""llévame al parque"")"
Producción del lenguaje,"Señala o nombra lugares que ve en imágenes (ej. el parque, la casa, el mercado)"
Producción del lenguaje,"Describe las características de objetos, animales o personas (por ejemplo, ""la pelota morada"")"
Producción del lenguaje,Hace enunciados simples sobre acontecimientos recientes
Producción del lenguaje,Responde preguntas simples sobre una imagen
Producción del lenguaje,Responde preguntas simples sobre un cuento
Producción del lenguaje,"Nombra objetos después de escuchar el sonido que hacen (por ejemplo, dice ""teléfono"" cuando suena el teléfono)"
Reflejos y posturas en recién nacidos,"Se mantiene en una posición flexionada, con rodillas y brazos pegados al cuerpo"
Reflejos y posturas en recién nacidos,"Cuando se exalta, levanta y estira los brazos con las palmas de las manos hacia arriba, estira la espalda y el cuello y rápidamente regresa los brazos al pecho (reflejo de Moro)"
Reflejos y posturas en recién nacidos,Estira y abre sus dedos del pie cuando le frotan las plantas del pie (reflejo de Babinski)
Reflejos y posturas en recién nacidos,Mantiene las manos en puños cerrados
Reflejos y posturas en recién nacidos,Empieza a succionar automáticamente cuando tocan o acarician su boca (reflejo de succión)
Reflejos y posturas en recién nacidos,Abre la boca y gira la cabeza hacia tu mano cuando acaricias su mejilla (reflejo de búsqueda)
Reflejos y posturas en recién nacidos,Sujeta tu dedo cuando lo pones en su mano (reflejo de prensión)
Reflejos y posturas en recién nacidos,Mantiene piernas ligeramente abiertas al estar acostado boca arriba
Ponerse de pie,Se puede parar apoyándose en muebles
Ponerse de pie,Puede pasar de estar sentado a arrodillado
Ponerse de pie,Se mantiene de pie cuando al detenerse con algún objeto
Ponerse de pie,Se pone de pie solo
Ponerse de pie,Pasa de estar de pie a sentado sin tu ayuda
Ponerse de pie,Se mantiene de pie momentáneamente sin ayuda
Ponerse de pie,Mantiene el equilibrio cuando está de pie
Ponerse de pie,Puede pasar de estar de pie a estar de cuclillas
Ponerse de pie,Mantiene el equilibrio mientras juega con un objeto estando de pie
Ponerse de pie,Puede pararse sin ayuda estando sentado
Ponerse de pie,Se para después de estar en cuclillas
Socialización ,Presta mucha atención a los rostros
Socialización ,"Sonríe por reflejo (por ejemplo, mientras duerme)"
Socialización ,Fija la vista en quien le está hablando
Socialización ,Se ríe
Socialización ,Tiene diferentes reacciones a las emociones expresadas a través de variaciones en tonos de voz
Socialización ,Repite sonidos o acciones que hacen que le presten atención
Socialización ,Señala cosas que quiere que veas
Socialización ,Empieza una conversación con otras personas
Socialización ,"Identifica los sentimientos de personajes o personas en imágenes (por ejemplo, ""triste"")"
Voltear y sentarse,Se mantiene sentado al estar apoyado en almohadas
Voltear y sentarse,Estira la espalda cuando está acostado boca arriba
Voltear y sentarse,Intenta sentarse si lo jalan de las manos
Voltear y sentarse,Puede rodar de boca abajo a boca arriba
Voltear y sentarse,Se puede mecer de lado a lado sobre su estómago al estar boca abajo
Voltear y sentarse,Levanta la cabeza como si estuviera intentando sentarse al estar acostado boca arriba
Voltear y sentarse,"Puede quedarse sentado con tu ayuda, manteniendo el torso firme"
Voltear y sentarse,Se mantiene sentado con las manos apoyadas a un frente de su cuerpo
Voltear y sentarse,Puede voltearse hacia ambos lados (boca arriba a boca abajo y viceversa)
Voltear y sentarse,Se mantiene sentado sin necesitar apoyo
Voltear y sentarse,Puede pasar de estar acostado a sentado sin ayuda
,
